Identificador,IdAplicacion,IdSolicitud,IdDecision,ScoreEvaluado,CantidadExcepciones,FechaEvaluacion,IdPolitica,tipoProducto,producto,montoFinanciar,plazo,mensualidad,tasa,region,nivelEndeudamiento,capacidadDescuento,edad,totalIngresos,totalOtrosIngresos,sexo,idOcupacion
3565993,WFPP,455359,RV,514,1,2025-02-01 09:00:20.487,35,0,0,8498.61,88,150.0,7.5,01,25.0,10.0,40.53,600.0,0,0,115
3565992,WFPP,455359,RV,514,1,2025-02-01 09:00:15.977,35,0,0,8498.61,88,150.0,7.5,01,25.0,10.0,40.53,600.0,0,0,115
3565991,WFPP,455359,RV,514,1,2025-02-01 09:00:04.137,35,0,0,8573.49,87,150.0,7.5,01,25.0,10.0,40.53,600.0,0,0,115
3565990,WFPP,455359,RV,514,1,2025-02-01 08:58:58.990,35,0,0,12737.5,132,210.0,12.0,01,35.0,0.0,40.53,600.0,0,0,115
3565989,WFPP,455359,RV,514,2,2025-02-01 08:58:47.287,29,0,0,12576.58,132,210.0,12.0,01,35.0,0.0,40.53,600.0,0,0,115
3565988,WFPP,455359,RV,514,2,2025-02-01 08:58:23.107,29,0,0,12576.58,132,210.0,12.0,01,35.0,0.0,40.53,600.0,0,0,115
3565987,WFPP,453649,AP,0,0,2025-02-01 08:56:26.367,18,0,2,11858.4,230,125.9,7.25,01,46.60546383356778,0.020950312527844517,60.92,270.14,0,1,113
3565986,WFPP,455359,RV,0,1,2025-02-01 08:51:14.293,29,0,0,12576.58,132,210.0,12.0,01,35.0,0.0,40.53,600.0,0,0,115
3565985,WFPP,455358,AP,680,0,2025-02-01 08:46:53.013,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565984,WFPP,455358,AP,680,0,2025-02-01 08:46:28.350,13,0,0,20406.6,120,305.0,8.25,01,12.4185667752443,87.5814332247557,44.92,2456.0,0,1,0
3565983,WFPP,455358,AP,680,0,2025-02-01 08:45:57.600,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565982,WFPP,455358,AP,680,0,2025-02-01 08:45:35.417,13,0,0,20533.06,119,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565981,WFPP,455358,AP,680,0,2025-02-01 08:45:29.660,13,0,0,20533.06,119,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565980,WFPP,455358,AP,680,0,2025-02-01 08:45:03.873,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565979,WFPP,455358,AP,680,0,2025-02-01 08:44:56.290,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565978,WFPP,455358,AP,680,0,2025-02-01 08:39:41.877,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565977,WFPP,455358,AP,680,0,2025-02-01 08:38:35.293,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565976,WFPP,455358,RV,0,1,2025-02-01 08:36:31.050,13,0,0,20339.53,120,304.0,8.25,01,12.37785016286645,87.62214983713355,44.92,2456.0,0,1,0
3565975,WFPP,455221,AP,705,0,2025-02-01 08:21:56.107,43,0,3,20137.92,131,279.5,8.0,01,49.378728923476004,1.874189364461735,40.34,1542.0,0,0,4
3565974,WFPP,455221,AP,705,0,2025-02-01 08:21:04.123,43,0,3,20137.92,131,279.5,8.0,01,49.378728923476004,1.874189364461735,40.34,1542.0,0,0,4
3565973,WFPP,455221,AP,705,0,2025-02-01 08:20:48.993,43,0,3,20102.05,131,279.0,8.0,01,49.34630350194553,1.9066147859922182,40.34,1542.0,0,0,4
3565972,WFPP,455221,AP,705,0,2025-02-01 08:20:00.957,43,0,3,19849.74,131,275.5,8.0,01,49.119325551232166,2.1335927367055767,40.34,1542.0,0,0,4
3565971,WFPP,455357,AP,595,0,2025-02-01 08:16:52.393,13,0,0,4988.01,81,93.0,8.25,01,58.140580484330485,43.64761396011396,54.96,2246.4,0,1,120
3565970,WFPP,455357,AP,595,0,2025-02-01 08:16:06.030,13,0,0,4988.01,81,93.0,8.25,01,58.140580484330485,43.64761396011396,54.96,2246.4,0,1,120
3565969,WFPP,455357,AP,595,0,2025-02-01 08:15:28.383,13,0,0,4988.01,81,93.0,8.25,01,58.140580484330485,43.64761396011396,54.96,2246.4,0,1,120
3565968,WFPP,455221,AP,705,0,2025-02-01 08:14:55.077,43,0,3,19813.82,131,275.0,8.0,01,49.08690012970169,2.1660181582360565,40.34,1542.0,0,0,4
3565967,WFPP,455221,AP,705,0,2025-02-01 08:14:31.207,43,0,3,19813.82,131,275.0,8.0,01,49.08690012970169,2.1660181582360565,40.34,1542.0,0,0,4
3565966,WFPP,455221,AP,705,0,2025-02-01 08:14:22.080,43,0,3,19741.47,131,274.0,8.0,01,49.02204928664073,2.230869001297016,40.34,1542.0,0,0,4
3565965,WFPP,455221,AP,705,0,2025-02-01 08:14:12.690,43,0,3,19669.76,131,273.0,8.0,01,48.95719844357976,2.2957198443579756,40.34,1542.0,0,0,4
3565964,WFPP,455221,AP,705,0,2025-02-01 08:13:11.473,43,0,3,19655.11,131,272.8,8.0,01,48.94422827496757,2.3086900129701675,40.34,1542.0,0,0,4
3565963,WFPP,455221,AP,705,0,2025-02-01 08:12:54.797,43,0,3,19597.7,131,272.0,8.0,01,48.892347600518804,2.360570687418935,40.34,1542.0,0,0,4
3565962,WFPP,455221,AP,705,0,2025-02-01 08:12:42.643,43,0,3,19885.91,131,276.0,8.0,01,49.15175097276265,2.101167315175097,40.34,1542.0,0,0,4
3565961,WFPP,455221,AP,705,0,2025-02-01 08:12:32.427,43,0,3,19993.82,131,277.5,8.0,01,49.249027237354085,2.0038910505836576,40.34,1542.0,0,0,4
3565960,WFPP,455357,AP,595,0,2025-02-01 08:11:29.257,13,0,0,4988.01,81,93.0,8.25,01,58.140580484330485,43.64761396011396,54.96,2246.4,0,1,120
3565959,WFPP,455357,AP,595,0,2025-02-01 08:10:56.107,13,0,0,4988.01,81,93.0,8.25,01,58.140580484330485,43.64761396011396,54.96,2246.4,0,1,120
3565958,WFPP,455221,AP,705,0,2025-02-01 08:10:05.390,43,0,3,19993.82,131,277.5,8.0,01,49.249027237354085,2.0038910505836576,40.34,1542.0,0,0,4
3565957,WFPP,455221,AP,705,0,2025-02-01 08:09:40.443,43,0,3,19885.91,131,276.0,8.0,01,49.15175097276265,2.101167315175097,40.34,1542.0,0,0,4
3565956,WFPP,455357,AP,0,0,2025-02-01 08:09:34.203,13,0,0,4988.01,81,93.0,8.25,01,4.139957264957265,95.86004273504274,54.96,2246.4,0,1,120
3565955,WFPP,455221,AP,705,0,2025-02-01 08:09:14.063,43,0,3,20173.76,131,280.0,8.0,01,49.41115434500649,1.8417639429312551,40.34,1542.0,0,0,4
3565954,WFPP,455221,RV,705,1,2025-02-01 08:08:38.103,43,0,3,20894.57,131,290.0,8.0,01,50.05966277561608,1.1932555123216595,40.34,1542.0,0,0,4
3565953,WFPP,455221,RV,705,1,2025-02-01 08:08:24.483,43,0,3,21251.23,158,290.0,9.5,01,50.05966277561608,1.1932555123216595,40.34,1542.0,0,0,4
